Polygon_ID,Volume_m3,Total_Area_m2,Valid_Area_m2,Coverage_%
1,45217.05384,499042.6751,69273,13.88117759
2,647025.4151,484371.4424,481194,99.34400707
3,477097.1609,304376.8441,304263,99.96259764
4,1510764.764,510825.0899,510840,100
5,214651.6115,131449.1254,119088,90.59626651
6,728401.8729,324977.7015,323784,99.63268203
7,246255.6329,551156.2426,549297,99.66266505
8,55799.2655,428955.1571,425979,99.30618457
9,144749.1962,450924.6467,450729,99.95661212
10,43140.92977,1667870.804,416601,24.97801382
11,522047.8139,1832061.129,598023,32.64208767
12,136047.6153,2042634.25,315396,15.44064974
13,456922.7461,127687.3313,127656,99.97546247
