Polygon_ID,Volume_m3,Total_Area_m2,Valid_Area_m2,Coverage_%,,,2004 Volume_m3,,,Polygon_ID,volume change ,rate
1,38029.39554,499042.6751,69273,13.88117759,,,45217.05384,,,1,-0.007187658,-0.000399314
2,735468.8721,484371.4424,481194,99.34400707,,,647025.4151,,,2,0.088443457,0.004913525
3,736163.6264,304376.8441,304263,99.96259764,,,477097.1609,,,3,0.259066466,0.014392581
4,1161578.684,510825.0899,510840,100,,,1510764.764,,,4,-0.34918608,-0.019399227
5,162933.9878,131449.1254,119088,90.59626651,,,214651.6115,,,5,-0.051717624,-0.002873201
6,902833.4931,324977.7015,323784,99.63268203,,,728401.8729,,,6,0.17443162,0.009690646
7,932008.8417,551156.2426,549297,99.66266505,,,246255.6329,,,7,0.685753209,0.0380974
8,126193.0766,428955.1571,425979,99.30618457,,,55799.2655,,,8,0.070393811,0.003910767
9,357654.4856,450924.6467,450729,99.95661212,,,144749.1962,,,9,0.212905289,0.011828072
10,122324.7219,1667870.804,416601,24.97801382,,,43140.92977,,,10,0.079183792,0.0043991
11,726778.0145,1832061.129,598023,32.64208767,,,522047.8139,,,11,0.204730201,0.0113739
12,225958.8355,2042634.25,315396,15.44064974,,,136047.6153,,,12,0.08991122,0.004995068
13,276711.7781,127687.3313,127656,99.97546247,,,456922.7461,,,13,-0.180210968,-0.01001172
,,,,,,,,,,,,
,,,,,,13,-180210.968,,,,,
,,,,,,4,-349186.08,-168975.112,,,,
